symbol,ensembl_id,source
TSPAN6,ENSG00000000003,gencode
TNMD,ENSG00000000005,gencode
DPM1,ENSG00000000419,gencode
SCYL3,ENSG00000000457,gencode
C1orf112,ENSG00000000460,gencode
FGR,ENSG00000000938,gencode
CFH,ENSG00000000971,gencode
FUCA2,ENSG00000001036,gencode
GCLC,ENSG00000001084,gencode
NFYA,ENSG00000001167,gencode
STPG1,ENSG00000001460,gencode
NIPAL3,ENSG00000001461,gencode
LAS1L,ENSG00000001497,gencode
ENPP4,ENSG00000001561,gencode
SEMA3F,ENSG00000001617,gencode
CFTR,ENSG00000001626,gencode
ANKIB1,ENSG00000001629,gencode
CYP51A1,ENSG00000001630,gencode
KRIT1,ENSG00000001631,gencode
RAD52,ENSG00000002016,gencode
BAD,ENSG00000002330,gencode
LAP3,ENSG00000002549,gencode
CD99,ENSG00000002586,gencode
HS3ST1,ENSG00000002587,gencode
AOC1,ENSG00000002726,gencode
WNT16,ENSG00000002745,gencode
HECW1,ENSG00000002746,gencode
MAD1L1,ENSG00000002822,gencode
LASP1,ENSG00000002834,gencode
SNX11,ENSG00000002919,gencode
TMEM176A,ENSG00000002933,gencode
M6PR,ENSG00000003056,gencode
KLHL13,ENSG00000003096,gencode
CYP26B1,ENSG00000003137,gencode
ICA1,ENSG00000003147,gencode
DBNDD1,ENSG00000003249,gencode
ALS2,ENSG00000003393,gencode
CASP10,ENSG00000003400,gencode
CFLAR,ENSG00000003402,gencode
TFPI,ENSG00000003436,gencode
NDUFAF7,ENSG00000003509,gencode
RBM5,ENSG00000003756,gencode
MTMR7,ENSG00000003987,gencode
SLC7A2,ENSG00000003989,gencode
ARF5,ENSG00000004059,gencode
SARM1,ENSG00000004139,gencode
POLDIP2,ENSG00000004142,gencode
PLXND1,ENSG00000004399,gencode
CD38,ENSG00000004468,gencode
FKBP4,ENSG00000004478,gencode
KDM1A,ENSG00000004487,gencode
RBM6,ENSG00000004534,gencode
CAMKK1,ENSG00000004660,gencode
RECQL,ENSG00000004700,gencode
VPS50,ENSG00000004766,gencode
HSPB6,ENSG00000004776,gencode
ARHGAP33,ENSG00000004777,gencode
NDUFAB1,ENSG00000004779,gencode
PDK4,ENSG00000004799,gencode
SLC22A16,ENSG00000004809,gencode
ZMYND10,ENSG00000004838,gencode
ABCB5,ENSG00000004846,gencode
ARX,ENSG00000004848,gencode
SLC25A13,ENSG00000004864,gencode
ST7,ENSG00000004866,gencode
CDC27,ENSG00000004897,gencode
SLC4A1,ENSG00000004939,gencode
CALCR,ENSG00000004948,gencode
HCCS,ENSG00000004961,gencode
DVL2,ENSG00000004975,gencode
PRSS22,ENSG00000005001,gencode
UPF1,ENSG00000005007,gencode
SKAP2,ENSG00000005020,gencode
SLC25A5,ENSG00000005022,gencode
MCUB,ENSG00000005059,gencode
HOXA11,ENSG00000005073,gencode
DHX33,ENSG00000005100,gencode
MEOX1,ENSG00000005102,gencode
THSD7A,ENSG00000005108,gencode
LIG3,ENSG00000005156,gencode
RPAP3,ENSG00000005175,gencode
ACSM3,ENSG00000005187,gencode
REXO5,ENSG00000005189,gencode
CIAPIN1,ENSG00000005194,gencode
SPPL2B,ENSG00000005206,gencode
FAM214B,ENSG00000005238,gencode
COPZ2,ENSG00000005243,gencode
PRKAR2B,ENSG00000005249,gencode
MSL3,ENSG00000005302,gencode
CREBBP,ENSG00000005339,gencode
TSPOAP1,ENSG00000005379,gencode
MPO,ENSG00000005381,gencode
PON1,ENSG00000005421,gencode
GCFC2,ENSG00000005436,gencode
WDR54,ENSG00000005448,gencode
CROT,ENSG00000005469,gencode
ABCB4,ENSG00000005471,gencode
KMT2E,ENSG00000005483,gencode
RHBDD2,ENSG00000005486,gencode
SOX8,ENSG00000005513,gencode
IBTK,ENSG00000005700,gencode
ZNF195,ENSG00000005801,gencode
MYCBP2,ENSG00000005810,gencode
FBXL3,ENSG00000005812,gencode
ITGAL,ENSG00000005844,gencode
PDK2,ENSG00000005882,gencode
ITGA3,ENSG00000005884,gencode
ZFX,ENSG00000005889,gencode
LAMP2,ENSG00000005893,gencode
ITGA2B,ENSG00000005961,gencode
ASB4,ENSG00000005981,gencode
GDE1,ENSG00000006007,gencode
REX1BD,ENSG00000006015,gencode
CRLF1,ENSG00000006016,gencode
OSBPL7,ENSG00000006025,gencode
TMEM98,ENSG00000006042,gencode
YBX2,ENSG00000006047,gencode
KRT33A,ENSG00000006059,gencode
MAP3K14,ENSG00000006062,gencode
ABCC8,ENSG00000006071,gencode
CACNG3,ENSG00000006116,gencode
TMEM132A,ENSG00000006118,gencode
AP2B1,ENSG00000006125,gencode
TAC1,ENSG00000006128,gencode
ZNF263,ENSG00000006194,gencode
CX3CL1,ENSG00000006210,gencode
SPATA20,ENSG00000006282,gencode
CACNA1G,ENSG00000006283,gencode
TNFRSF12A,ENSG00000006327,gencode
DLX6,ENSG00000006377,gencode
MAP3K9,ENSG00000006432,gencode
RALA,ENSG00000006451,gencode
BAIAP2L1,ENSG00000006453,gencode
KDM7A,ENSG00000006459,gencode
ETV1,ENSG00000006468,gencode
AGK,ENSG00000006530,gencode
ALDH3B1,ENSG00000006534,gencode
TTC22,ENSG00000006555,gencode
PHTF2,ENSG00000006576,gencode
CCL26,ENSG00000006606,gencode
FARP2,ENSG00000006607,gencode
USH1C,ENSG00000006611,gencode
GGCT,ENSG00000006625,gencode
DBF4,ENSG00000006634,gencode
TBXA2R,ENSG00000006638,gencode
IFRD1,ENSG00000006652,gencode
LGALS14,ENSG00000006659,gencode
COX10,ENSG00000006695,gencode
GTF2IRD1,ENSG00000006704,gencode
PAF1,ENSG00000006712,gencode
VPS41,ENSG00000006715,gencode
ARHGAP44,ENSG00000006740,gencode
ELAC2,ENSG00000006744,gencode
SCIN,ENSG00000006747,gencode
ARSD,ENSG00000006756,gencode
PNPLA4,ENSG00000006757,gencode
MYH13,ENSG00000006788,gencode
ADIPOR2,ENSG00000006831,gencode
CDKL3,ENSG00000006837,gencode
UPP2,ENSG00000007001,gencode
PRSS21,ENSG00000007038,gencode
MARK4,ENSG00000007047,gencode
PROM1,ENSG00000007062,gencode
CCDC124,ENSG00000007080,gencode
CEACAM21,ENSG00000007129,gencode
PAFAH1B1,ENSG00000007168,gencode
NOS2,ENSG00000007171,gencode
DNAH9,ENSG00000007174,gencode
KIAA0100,ENSG00000007202,gencode
SLC13A2,ENSG00000007216,gencode
GAS7,ENSG00000007237,gencode
TRAPPC6A,ENSG00000007255,gencode
MATK,ENSG00000007264,gencode
CEACAM7,ENSG00000007306,gencode
CD79B,ENSG00000007312,gencode
SCN4A,ENSG00000007314,gencode
ST7L,ENSG00000007341,gencode
TKTL1,ENSG00000007350,gencode
PAX6,ENSG00000007372,gencode
RPUSD1,ENSG00000007376,gencode
RHBDF1,ENSG00000007384,gencode
LUC7L,ENSG00000007392,gencode
CACNA2D2,ENSG00000007402,gencode
BAIAP3,ENSG00000007516,gencode
TSR3,ENSG00000007520,gencode
PIGQ,ENSG00000007541,gencode
CRAMP1,ENSG00000007545,gencode
TEAD3,ENSG00000007866,gencode
SELE,ENSG00000007908,gencode
DNAJC11,ENSG00000007923,gencode
FMO3,ENSG00000007933,gencode
MYLIP,ENSG00000007944,gencode
NOX1,ENSG00000007952,gencode
E2F2,ENSG00000007968,gencode
PSMB1,ENSG00000008018,gencode
SYN1,ENSG00000008056,gencode
JARID2,ENSG00000008083,gencode
CDKL5,ENSG00000008086,gencode
CAMK1G,ENSG00000008118,gencode
CDK11A,ENSG00000008128,gencode
NADK,ENSG00000008130,gencode
TFAP2B,ENSG00000008196,gencode
TFAP2D,ENSG00000008197,gencode
DLEC1,ENSG00000008226,gencode
CYTH3,ENSG00000008256,gencode
ADAM22,ENSG00000008277,gencode
SYPL1,ENSG00000008282,gencode
CYB561,ENSG00000008283,gencode
SPAG9,ENSG00000008294,gencode
CELSR3,ENSG00000008300,gencode
AASS,ENSG00000008311,gencode
PLEKHG6,ENSG00000008323,gencode
SS18L2,ENSG00000008324,gencode
MPND,ENSG00000008382,gencode
MGST1,ENSG00000008394,gencode
CRY1,ENSG00000008405,gencode
PGLYRP1,ENSG00000008438,gencode
NFIX,ENSG00000008441,gencode
ST3GAL1,ENSG00000008513,gencode
MMP25,ENSG00000008516,gencode
IL32,ENSG00000008517,gencode
PKD1,ENSG00000008710,gencode
MAPK8IP2,ENSG00000008735,gencode
MED24,ENSG00000008838,gencode
RHOBTB2,ENSG00000008853,gencode
HEATR5B,ENSG00000008869,gencode
SEC62,ENSG00000008952,gencode
CSDE1,ENSG00000009307,gencode
UBE3C,ENSG00000009335,gencode
REV3L,ENSG00000009413,gencode
TENM1,ENSG00000009694,gencode
PAX7,ENSG00000009709,gencode
MASP2,ENSG00000009724,gencode
IYD,ENSG00000009765,gencode
FAM76A,ENSG00000009780,gencode
TRAF3IP3,ENSG00000009790,gencode
